INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
PLTEST001,3114,,INVESTIGATE PROPERTY,B2, ,0,2021-03-29 00:00:00,2021,3,Monday,0,,SCHROEDER PLAZA,0,0,"(0, 0)"
212996778,3301,,VERBAL DISPUTE,C6,204,0,2021-02-01 06:20:00,2021,2,Monday,6,,GILLETTE PARK,42.3441248392933,-71.0568533916328,"(42.3441248392933, -71.0568533916328)"
212929649,801,,ASSAULT - SIMPLE,D14,784,0,2021-03-31 20:10:00,2021,3,Wednesday,20,,NEVINS ST,42.3492856899685,-71.146727204671,"(42.3492856899685, -71.146727204671)"
212922650,3115,,INVESTIGATE PERSON,A7,26,0,2021-04-08 00:00:00,2021,4,Thursday,0,,MERIDIAN ST,42.3790149807813,-71.0392066425822,"(42.3790149807813, -71.0392066425822)"
212918748,3005,,SICK ASSIST,D4,138,0,2021-03-24 09:53:00,2021,3,Wednesday,9,,BOYLSTON ST,42.3493247128501,-71.0801480124617,"(42.3493247128501, -71.0801480124617)"
212492943,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,320,0,2021-04-11 15:00:00,2021,4,Sunday,15,,"4 HARTWELL ST
ROXBURY  MA 02121
UNITED STATES",42.3093638008726,-71.08416777255,"(42.3093638008726, -71.08416777255)"
212208502,2647,,THREATS TO DO BODILY HARM,C11,282,0,2021-02-08 15:00:00,2021,2,Monday,15,,BOWDOIN ST,42.3286628355561,-71.0856340118355,"(42.3286628355561, -71.0856340118355)"
212205979,706,,AUTO THEFT - MOTORCYCLE / SCOOTER,E13,574,0,2021-04-22 00:00:00,2021,4,Thursday,0,,CENTRE ST,42.3097185676727,-71.1042943178765,"(42.3097185676727, -71.1042943178765)"
212108128,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,77,0,2021-02-05 00:00:00,2021,2,Friday,0,,"40 NEW SUDBURY ST
BOSTON  MA 02114
UNITED STATES",42.3618385665647,-71.0597648909416,"(42.3618385665647, -71.0597648909416)"
212077539,3831,,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,167,0,2021-02-18 15:00:00,2021,2,Thursday,15,,PARK DR,42.3395419898301,-71.0694087696754,"(42.3395419898301, -71.0694087696754)"
