Youtuber_name,Subscriber Count,Daily Average,Weekly Average,Monthly Average,Grading,Sponsored Video Average (views)
Laff,357000,"58,496","409,472","1,754,879",B,4800000
BasildoomHD,363000,"17,848","124,936","535,422",A-,3475373
Ph1LzA,2200000,"257,575","1,803,025","7,727,222",B+,3172041
MumboJumbo,7380000,"1,123,414","7,863,898","33,702,399",A-,2861884
NVIDIA,1000000,"51,192","358,344","1,535,755",B,2656286
Grian,6550000,"1,064,028","7,448,196","31,920,825",B+,2250000
Iskall85,1510000,"43,058","301,406","1,291,737",B,728015
DubStepZz,957000,"91,217","638,519","2,736,482",B,522000
hodilton,150000,"59,432","416,024","1,782,938",B,509500
GermanLetsPlay,3540000,"815,599","5,709,193","24,467,952",B+,436000
Keralis,2320000,"49,360","345,520","1,480,775",B,320464
BdoubleO100,1710000,"75,872","531,104","2,276,138",B,194500
chippygaming,865000,"49,632","347,424","1,488,946",B,180000
TangoTek,926000,"49,786","348,502","1,493,567",B,125000
ImpulseSV,897000,"81,725","572,075","2,451,742",B,80000
FalseSymmetry,402000,"10,319","72,233","309,555",B,77333
